EmpleadoId;Fecha;Entrada;Salida
4296862;06/02/2020;06/02/2020 07:29;06/02/2020 18:04
4296862;07/02/2020;07/02/2020 07:27;07/02/2020 14:05
4296862;08/02/2020;;
4296862;09/02/2020;;
4296862;10/02/2020;10/02/2020 07:32;10/02/2020 18:01
4296862;11/02/2020;11/02/2020 07:25;11/02/2020 18:00
4296862;12/02/2020;12/02/2020 07:25;12/02/2020 18:01
4296862;13/02/2020;13/02/2020 07:22;13/02/2020 18:05
4296862;14/02/2020;14/02/2020 07:29;14/02/2020 14:01
4296862;15/02/2020;;
4296862;16/02/2020;;
4296862;17/02/2020;;
4296862;18/02/2020;;
4296862;19/02/2020;;
4296862;20/02/2020;;
4296862;21/02/2020;;
4296862;22/02/2020;;
4296862;23/02/2020;;
4296862;24/02/2020;;
4296862;25/02/2020;;
4296862;26/02/2020;;
4296862;27/02/2020;;
4296862;28/02/2020;;
4296862;29/02/2020;;
4296862;01/03/2020;;
4296862;02/03/2020;02/03/2020 07:17;
4296862;03/03/2020;03/03/2020 07:26;03/03/2020 18:03
4296862;04/03/2020;04/03/2020 07:26;04/03/2020 18:03
4296862;05/03/2020;05/03/2020 07:23;05/03/2020 18:01
4296862;06/03/2020;06/03/2020 07:24;06/03/2020 14:06
4296862;07/03/2020;;
4296862;08/03/2020;;
4296862;09/03/2020;09/03/2020 07:28;09/03/2020 18:07
4296862;10/03/2020;10/03/2020 07:27;10/03/2020 18:09
4296862;11/03/2020;11/03/2020 07:26;11/03/2020 17:21
4296862;12/03/2020;12/03/2020 07:38;12/03/2020 18:00
4296862;13/03/2020;13/03/2020 07:34;
4296862;14/03/2020;;
4296862;15/03/2020;;
4296862;16/03/2020;16/03/2020 07:25;16/03/2020 18:06
4296862;17/03/2020;17/03/2020 07:27;
4296862;18/03/2020;;
4296862;19/03/2020;;
4296862;20/03/2020;;
4296862;21/03/2020;;
4296862;22/03/2020;;
4296862;23/03/2020;;
4296862;24/03/2020;;
4296862;25/03/2020;;
4296862;26/03/2020;;
4296862;27/03/2020;;
4296862;28/03/2020;;
4296862;29/03/2020;;
4296862;30/03/2020;;
4296862;31/03/2020;;
4296862;01/04/2020;;
4296862;02/04/2020;;
4296862;03/04/2020;;
4296862;04/04/2020;;
4296862;05/04/2020;;
4296862;06/04/2020;;
4296862;07/04/2020;;
4296862;08/04/2020;;
4296862;09/04/2020;;
4296862;10/04/2020;;
4296862;11/04/2020;;
4296862;12/04/2020;;
4296862;13/04/2020;;
4296862;14/04/2020;;
4296862;15/04/2020;;
4296862;16/04/2020;;
4296862;17/04/2020;;
4296862;18/04/2020;;
4296862;19/04/2020;;
4296862;20/04/2020;;
4296862;21/04/2020;;
4296862;22/04/2020;;
4296862;23/04/2020;;
4296862;24/04/2020;;
4296862;25/04/2020;;
4296862;26/04/2020;;
4296862;27/04/2020;;
4296862;28/04/2020;;
4296862;29/04/2020;29/04/2020 07:33;
4296862;30/04/2020;;
4296862;01/05/2020;;
4296862;02/05/2020;;
4296862;03/05/2020;;
4296862;04/05/2020;;
4296862;05/05/2020;;
4296862;06/05/2020;;
4296862;07/05/2020;;
4296862;08/05/2020;;
4296862;09/05/2020;;
4296862;10/05/2020;;
4296862;11/05/2020;;
4296862;12/05/2020;;
4296862;13/05/2020;;
4296862;14/05/2020;;
4296862;15/05/2020;;
4296862;16/05/2020;;
4296862;17/05/2020;;
4296862;18/05/2020;;
4296862;19/05/2020;;
4296862;20/05/2020;;
4296862;21/05/2020;;
4296862;22/05/2020;;
4296862;23/05/2020;;
4296862;24/05/2020;;
4296862;25/05/2020;;
4296862;26/05/2020;;
4296862;27/05/2020;;
4296862;28/05/2020;;
4296862;29/05/2020;;
4296862;30/05/2020;;
4296862;31/05/2020;;
4296862;01/06/2020;;
4296862;02/06/2020;;
4296862;03/06/2020;;
4296862;04/06/2020;;
4296862;05/06/2020;;
4296862;06/06/2020;;
4296862;07/06/2020;;
4296862;08/06/2020;;
4296862;09/06/2020;;
4296862;10/06/2020;;
4296862;11/06/2020;;
4296862;12/06/2020;;
4296862;13/06/2020;;
4296862;14/06/2020;;
4296862;15/06/2020;;
4296862;16/06/2020;;
4296862;17/06/2020;;
4296862;18/06/2020;;
4296862;19/06/2020;;
4296862;20/06/2020;;
4296862;21/06/2020;;
4296862;22/06/2020;;
4296862;23/06/2020;;
4296862;24/06/2020;;
4296862;25/06/2020;;
4296862;26/06/2020;;
4296862;27/06/2020;;
4296862;28/06/2020;;
4296862;29/06/2020;;
4296862;30/06/2020;;
4296862;01/07/2020;;
4296862;02/07/2020;;
4296862;03/07/2020;;
4296862;04/07/2020;;
4296862;05/07/2020;;
4296862;06/07/2020;;
4296862;07/07/2020;;
4296862;08/07/2020;;
4296862;09/07/2020;;
4296862;10/07/2020;;
4296862;11/07/2020;;
4296862;12/07/2020;;
4296862;13/07/2020;;
4296862;14/07/2020;;
4296862;15/07/2020;;
4296862;16/07/2020;;
4296862;17/07/2020;;
4296862;18/07/2020;;
4296862;19/07/2020;;
4296862;20/07/2020;;
4296862;21/07/2020;;
4296862;22/07/2020;;
4296862;23/07/2020;;
4296862;24/07/2020;;
4296862;25/07/2020;;
4296862;26/07/2020;;
4296862;27/07/2020;;
4296862;28/07/2020;;
4296862;29/07/2020;;
4296862;30/07/2020;;
4296862;31/07/2020;;
4296862;01/08/2020;;
4296862;02/08/2020;;
4296862;03/08/2020;;
4296862;04/08/2020;;
4296862;05/08/2020;;
4296862;06/08/2020;;
4296862;07/08/2020;;
4296862;08/08/2020;;
4296862;09/08/2020;;
4296862;10/08/2020;;
4296862;11/08/2020;;
4296862;12/08/2020;;
4296862;13/08/2020;;
4296862;14/08/2020;;
4296862;15/08/2020;;
4296862;16/08/2020;;
4296862;17/08/2020;;
4296862;18/08/2020;;
4296862;19/08/2020;;
4296862;20/08/2020;;
4296862;21/08/2020;;
4296862;22/08/2020;;
4296862;23/08/2020;;
4296862;24/08/2020;;
4296862;25/08/2020;;
4296862;26/08/2020;;
4296862;27/08/2020;;
4296862;28/08/2020;;
4296862;29/08/2020;;
4296862;30/08/2020;;
4296862;31/08/2020;31/08/2020 07:36;
4296862;01/09/2020;;
4296862;02/09/2020;;
4296862;03/09/2020;;
4296862;04/09/2020;;
4296862;05/09/2020;;
4296862;06/09/2020;;
4296862;07/09/2020;;
4296862;08/09/2020;;
4296862;09/09/2020;;
4296862;10/09/2020;;
4296862;11/09/2020;;
4296862;12/09/2020;;
4296862;13/09/2020;;
4296862;14/09/2020;;
4296862;15/09/2020;;
4296862;16/09/2020;;
4296862;17/09/2020;;
4296862;18/09/2020;;
4296862;19/09/2020;;
4296862;20/09/2020;;
4296862;21/09/2020;;
4296862;22/09/2020;;
4296862;23/09/2020;;
4296862;24/09/2020;;
4296862;25/09/2020;;
4296862;26/09/2020;;
4296862;27/09/2020;;
4296862;28/09/2020;;
4296862;29/09/2020;;
4296862;30/09/2020;;
4296862;01/10/2020;;
4296862;02/10/2020;;
